mapmaker_name,mapmaker_id,map_or_book_id,country,city,date
Peter Apian,7.0,E,Belgium,Antwerp,1564
Gemma Frisius,29.0,A,Belgium,Antwerp,1564
Johann Sambucus,65.0,F,Belgium,Antwerp,1564
Abraham Ortelius,1.0,2,Belgium,Antwerp,1565
Jacob van Deventer,25.0,4.5,Belgium,Antwerp,1565
Jacob van Deventer,25.0,4.6,Belgium,Antwerp,1565
Gerard Mercator,56.0,6.6,Belgium,Antwerp,1565
Franciscus Monachus · 407,57.0,A,Belgium,Antwerp,1565
Fernando Alvares Seco,67.0,1.1,Belgium,Antwerp,1565
Caspar Vopel,79.0,9.1,Belgium,Antwerp,1566
Abraham Ortelius,1.0,4,Belgium,Antwerp,1567
Cornelis Anthoniszoon,6.0,11.4,Belgium,Antwerp,1567
Wolfgang Lazius,49.0,7.3,Belgium,Antwerp,1567
Gerard Mercator,56.0,6.8,Belgium,Antwerp,1567
Abraham Ortelius,1.0,5,Belgium,Antwerp,1568
Jacob van Deventer,25.0,1.6,Belgium,Antwerp,1568
Giacomo Gastaldi,30.0,90.2,Belgium,Antwerp,1568
Anthony Jenkinson,43.0,1.1,Belgium,Antwerp,1568
Ferdinand de Lannoy,48.0,2,Belgium,Antwerp,1568
Christian Sgrooten,70.0,2.2,Belgium,Antwerp,1568
Caspar Vopel,79.0,8.3,Belgium,Antwerp,1569
Abraham Ortelius,1.0,6,Belgium,Antwerp,1570
Abraham Ortelius,1.0,7,Belgium,Antwerp,1570
Abraham Ortelius,1.0,8,Belgium,Antwerp,1570
Abraham Ortelius,1.0,9,Belgium,Antwerp,1570
Abraham Ortelius,1.0,10,Belgium,Antwerp,1570
Abraham Ortelius,1.0,11,Belgium,Antwerp,1570
Abraham Ortelius,1.0,12,Belgium,Antwerp,1570
Abraham Ortelius,1.0,13,Belgium,Antwerp,1570
Abraham Ortelius,1.0,14,Belgium,Antwerp,1570
Abraham Ortelius,1.0,15,Belgium,Antwerp,1570
Abraham Ortelius,1.0,16,Belgium,Antwerp,1570
Abraham Ortelius,1.0,17,Belgium,Antwerp,1570
Abraham Ortelius,1.0,18,Belgium,Antwerp,1570
Abraham Ortelius,1.0,19,Belgium,Antwerp,1570
Abraham Ortelius,1.0,20,Belgium,Antwerp,1570
Abraham Ortelius,1.0,21,Belgium,Antwerp,1570
Abraham Ortelius,1.0,22,Belgium,Antwerp,1570
Abraham Ortelius,1.0,23,Belgium,Antwerp,1570
Abraham Ortelius,1.0,24,Belgium,Antwerp,1570
Abraham Ortelius,1.0,25,Belgium,Antwerp,1570
Abraham Ortelius,1.0,26,Belgium,Antwerp,1570
Abraham Ortelius,1.0,27,Belgium,Antwerp,1570
Abraham Ortelius,1.0,28,Belgium,Antwerp,1570
Abraham Ortelius,1.0,29,Belgium,Antwerp,1570
Abraham Ortelius,1.0,30,Belgium,Antwerp,1570
Abraham Ortelius,1.0,31,Belgium,Antwerp,1570
Abraham Ortelius,1.0,32,Belgium,Antwerp,1570
Abraham Ortelius,1.0,33,Belgium,Antwerp,1570
Abraham Ortelius,1.0,34,Belgium,Antwerp,1570
Abraham Ortelius,1.0,35,Belgium,Antwerp,1570
Abraham Ortelius,1.0,36,Belgium,Antwerp,1570
Abraham Ortelius,1.0,37,Belgium,Antwerp,1570
Abraham Ortelius,1.0,38,Belgium,Antwerp,1570
Abraham Ortelius,1.0,39,Belgium,Antwerp,1570
Abraham Ortelius,1.0,40,Belgium,Antwerp,1570
Abraham Ortelius,1.0,41,Belgium,Antwerp,1570
Abraham Ortelius,1.0,42,Belgium,Antwerp,1570
Abraham Ortelius,1.0,43,Belgium,Antwerp,1570
Abraham Ortelius,1.0,44,Belgium,Antwerp,1570
Abraham Ortelius,1.0,45,Belgium,Antwerp,1570
Abraham Ortelius,1.0,46,Belgium,Antwerp,1570
Abraham Ortelius,1.0,47,Belgium,Antwerp,1570
Abraham Ortelius,1.0,48,Belgium,Antwerp,1570
Abraham Ortelius,1.0,49,Belgium,Antwerp,1570
Abraham Ortelius,1.0,50,Belgium,Antwerp,1570
Abraham Ortelius,1.0,51,Belgium,Antwerp,1570
Abraham Ortelius,1.0,52,Belgium,Antwerp,1570
Abraham Ortelius,1.0,53,Belgium,Antwerp,1570
Abraham Ortelius,1.0,54,Belgium,Antwerp,1570
Abraham Ortelius,1.0,55,Belgium,Antwerp,1570
Abraham Ortelius,1.0,56,Belgium,Antwerp,1570
Abraham Ortelius,1.0,57,Belgium,Antwerp,1570
Abraham Ortelius,1.0,58,Belgium,Antwerp,1570
Abraham Ortelius,1.0,59,Belgium,Antwerp,1570
Abraham Ortelius,1.0,60,Belgium,Antwerp,1570
Abraham Ortelius,1.0,61,Belgium,Antwerp,1570
Abraham Ortelius,1.0,62,Belgium,Antwerp,1570
Abraham Ortelius,1.0,63,Belgium,Antwerp,1570
Abraham Ortelius,1.0,64,Belgium,Antwerp,1570
Abraham Ortelius,1.0,65,Belgium,Antwerp,1570
Abraham Ortelius,1.0,66,Belgium,Antwerp,1570
Abraham Ortelius,1.0,67,Belgium,Antwerp,1570
Abraham Ortelius,1.0,68,Belgium,Antwerp,1570
Abraham Ortelius,1.0,69,Belgium,Antwerp,1570
Abraham Ortelius,1.0,70,Belgium,Antwerp,1570
Abraham Ortelius,1.0,71,Belgium,Antwerp,1570
Abraham Ortelius,1.0,72,Belgium,Antwerp,1570
Abraham Ortelius,1.0,73,Belgium,Antwerp,1570
Abraham Ortelius,1.0,74,Belgium,Antwerp,1570
Abraham Ortelius,1.0,75,Belgium,Antwerp,1570
Abraham Ortelius,1.0,A,Belgium,Antwerp,1570
Liévin Algoet,3.0,2.2,Belgium,Antwerp,1570
Cornelis Anthoniszoon,6.0,8.5,Belgium,Antwerp,1570
Johannes A ventinus,9.0,5.1,Belgium,Antwerp,1570
Girolamo Bell' Armato,10.0,1.9,Belgium,Antwerp,1570
Peter Böckel,11.0,1.1,Belgium,Antwerp,1570
Gilles Boileau de Buillon,12.0,20.2,Belgium,Antwerp,1570
Jean Chaumeau,19.0,1.1,Belgium,Antwerp,1570
Charles de l'Escluse,26.0,2.2,Belgium,Antwerp,1570
Giacomo Gastaldi,30.0,2.6,Belgium,Antwerp,1570
Giacomo Gastaldi,30.0,76.3,Belgium,Antwerp,1570
Giacomo Gastaldi,30.0,88.4,Belgium,Antwerp,1570
Giacomo Gastaldi,30.0,90.4,Belgium,Antwerp,1570
Paolo Giovio,33.0,1.2,Belgium,Antwerp,1570
Wacław Grodecki,35.0,1.3,Belgium,Antwerp,1570
Martin Helwig,38.0,1.9,Belgium,Antwerp,1570
Augustin Hirschvogel,40.0,9.2,Belgium,Antwerp,1570
Anthony Jenkinson,43.0,1.2,Belgium,Antwerp,1570
Jean Jolivet,44.0,5.4,Belgium,Antwerp,1570
Wolfgang Lazius,49.0,7.5,Belgium,Antwerp,1570
Pirro Ligorio,51.0,5.1,Belgium,Antwerp,1570
Godfried Mascop · 367,54.0,11,Belgium,Antwerp,1570
Gerard Mercator,56.0,6.11,Belgium,Antwerp,1570
Gerard Mercator,56.0,17.9,Belgium,Antwerp,1570
Erhart Reich,63.0,1.1,Belgium,Antwerp,1570
Fernando Alvares Seco,67.0,1.2,Belgium,Antwerp,1570
Marcus Secsnagel,68.0,1.2,Belgium,Antwerp,1570
Vincenzo Paletino,60.0,11,Belgium,Antwerp,1570
Caspar Vopel,79.0,55,Belgium,Antwerp,1570
Anton Wied,81.0,1.3,Belgium,Antwerp,1570
Matthias Zündt,88.0,8.1,Belgium,Antwerp,1570
Abraham Ortelius,1.0,1.1,Belgium,Antwerp,1571
Abraham Ortelius,1.0,77,Belgium,Antwerp,1571
Abraham Ortelius,1.0,A.1,Belgium,Antwerp,1571
Charles de l'Escluse,26.0,2.3,Belgium,Antwerp,1571
Abraham Ortelius,1.0,A.2,Belgium,Antwerp,1572
Abraham Ortelius,1.0,A.3,Belgium,Antwerp,1572
Gerard Mercator,56.0,38,Belgium,Antwerp,1572
Caspar Vopel,79.0,9.2,Belgium,Antwerp,1572
Abraham Ortelius,1.0,78,Belgium,Antwerp,1573
Abraham Ortelius,1.0,79,Belgium,Antwerp,1573
Abraham Ortelius,1.0,80,Belgium,Antwerp,1573
Abraham Ortelius,1.0,81,Belgium,Antwerp,1573
Abraham Ortelius,1.0,82,Belgium,Antwerp,1573
Abraham Ortelius,1.0,83,Belgium,Antwerp,1573
Abraham Ortelius,1.0,84,Belgium,Antwerp,1573
Abraham Ortelius,1.0,85,Belgium,Antwerp,1573
Abraham Ortelius,1.0,86,Belgium,Antwerp,1573
Abraham Ortelius,1.0,87,Belgium,Antwerp,1573
Abraham Ortelius,1.0,88,Belgium,Antwerp,1573
Abraham Ortelius,1.0,89,Belgium,Antwerp,1573
Abraham Ortelius,1.0,90,Belgium,Antwerp,1573
Abraham Ortelius,1.0,91,Belgium,Antwerp,1573
Abraham Ortelius,1.0,92,Belgium,Antwerp,1573
Abraham Ortelius,1.0,93,Belgium,Antwerp,1573
Abraham Ortelius,1.0,94,Belgium,Antwerp,1573
Abraham Ortelius,1.0,95,Belgium,Antwerp,1573
Abraham Ortelius,1.0,96,Belgium,Antwerp,1573
Abraham Ortelius,1.0,97,Belgium,Antwerp,1573
Abraham Ortelius,1.0,98,Belgium,Antwerp,1573
Abraham Ortelius,1.0,99,Belgium,Antwerp,1573
Abraham Ortelius,1.0,100,Belgium,Antwerp,1573
Abraham Ortelius,1.0,101,Belgium,Antwerp,1573
Abraham Ortelius,1.0,102,Belgium,Antwerp,1573
Abraham Ortelius,1.0,103,Belgium,Antwerp,1573
Abraham Ortelius,1.0,104,Belgium,Antwerp,1573
Abraham Ortelius,1.0,105,Belgium,Antwerp,1573
Abraham Ortelius,1.0,B,Belgium,Antwerp,1573
